Bill_No,F_TASTE,F_PRESENT,F_TEMPERA,S_QUALITY,S_COURTESY,S_PROMPTNE,A_REMARKS,COUNTRY,TABLE_NO,SALE,excellent,worse,awesome,good
1,1,1,2,1,1,1,Keep up the Quality,India,45,13549,FALSE,FALSE,FALSE,FALSE
2,1,1,1,1,1,1,Excellent Food,India,27,4481,TRUE,FALSE,FALSE,FALSE
3,1,1,2,1,1,1,Have a Low Calorie Menu.,India,4,9882,FALSE,FALSE,FALSE,FALSE
4,1,1,1,1,1,1,Nice Food,India,10,3332,FALSE,FALSE,FALSE,FALSE
5,1,1,1,1,1,1,All Are Best & Smiling's Food Is Excellent & Everything Is Feel Like Homely,India,18,11445,TRUE,FALSE,FALSE,FALSE
6,1,1,1,1,1,2,No,India,4,15155,FALSE,FALSE,FALSE,FALSE
7,1,1,1,1,1,1,Excellent Food,India,45,4403,TRUE,FALSE,FALSE,FALSE
8,1,1,1,1,1,1,Great Experience,India,44,10424,FALSE,FALSE,FALSE,FALSE
9,1,1,1,1,1,1,Excellent Food And Very Good Overall Experience,India,41,9230,TRUE,FALSE,FALSE,TRUE
10,1,1,1,1,1,1,Excellent,India,26,12779,TRUE,FALSE,FALSE,FALSE
11,1,1,2,1,1,2,Keep Up Good Work,India,24,11252,FALSE,FALSE,FALSE,TRUE
12,1,1,1,2,1,1,Sukhi Dal Was Not Good Too Spicy,India,44,2494,FALSE,FALSE,FALSE,TRUE
13,1,1,1,1,1,1,None,India,39,16092,FALSE,FALSE,FALSE,FALSE
14,1,1,1,1,1,1,Food Was Very Good Service Was Element But Price Should Be More Reasonable,India,34,4936,FALSE,FALSE,FALSE,TRUE
15,1,1,1,1,1,1,Awesome Food Numerous Varieties Of Food Chandan Who Served Us Was Very Polite And Helped  Us Select The Best Dish,India,15,16098,FALSE,FALSE,TRUE,FALSE
16,1,1,1,1,1,1,Good Experience,India,2,11778,FALSE,FALSE,FALSE,TRUE
17,1,1,1,1,1,1,Pause Don't Seem Under Chicken Again Thank You,India,37,15227,FALSE,FALSE,FALSE,FALSE
18,1,1,1,1,1,1,Sahi Coffee And The Best Pudding Had In ,London,24,2736,FALSE,FALSE,FALSE,FALSE
19,1,1,1,1,1,1,The Service Was Stupendous And Surpassed By The Food Thank You For A Lovely Everything,India,15,5907,FALSE,FALSE,FALSE,FALSE
20,1,1,3,1,1,1,Good,India,45,10015,FALSE,FALSE,FALSE,TRUE
21,2,2,2,2,1,2,I Think The Chef Needs To Recheck The Difference Between Biryani & Plow,India,14,1399,FALSE,FALSE,FALSE,FALSE
22,1,1,2,1,1,2,Perpetuity Keep It Up,India,23,11998,FALSE,FALSE,FALSE,FALSE
23,1,1,1,1,1,1,No Comments,India,2,18243,FALSE,FALSE,FALSE,FALSE
24,2,1,1,1,1,1,Food Was Very Good And The Erica Was Excellent,India,18,13786,TRUE,FALSE,FALSE,TRUE
25,1,1,1,2,2,2,Really Good ,India,41,9533,FALSE,FALSE,FALSE,TRUE
26,1,1,1,1,1,1,Amazing Experience As Always,India,32,18152,FALSE,FALSE,FALSE,FALSE
27,3,3,3,1,1,1,All Things Are Nice,India,9,14423,FALSE,FALSE,FALSE,FALSE
28,1,1,1,1,1,1,Keep It Up,India,50,5834,FALSE,FALSE,FALSE,FALSE
29,1,1,2,1,1,2,It Is Awesome Atmosphere Is Wow,India,24,8756,FALSE,FALSE,TRUE,FALSE
30,1,1,2,1,1,2,Ac To Be Low Server,India,9,19482,FALSE,FALSE,FALSE,FALSE
31,1,1,2,1,1,1,Food Was Excellent To Come Again,India,41,15773,TRUE,FALSE,FALSE,FALSE
32,1,1,1,1,1,1,Multan Was Very Good Is And Behavior,India,6,7654,FALSE,FALSE,FALSE,TRUE
33,1,1,1,1,1,1,Very Good,India,19,4847,FALSE,FALSE,FALSE,TRUE
34,1,1,1,1,1,1,Observed Changes Of Mat And Fazes Looking Good,India,41,13479,FALSE,FALSE,FALSE,TRUE
35,1,1,1,1,1,1,Good Food Good Ambience,India,4,7988,FALSE,FALSE,FALSE,TRUE
36,1,1,1,1,1,1,Good  And Great Service Place Keep Up The Great Efforts,India,41,146,FALSE,FALSE,FALSE,TRUE
37,1,1,1,1,1,1,Billing Was Late,India,35,18256,FALSE,FALSE,FALSE,FALSE
38,1,1,1,1,1,1,More Than Satisfied With The Quality And Taste Of The Food The Shakes Were Highly Disappointing,India,33,5702,FALSE,FALSE,FALSE,FALSE
39,1,2,2,1,1,2,Good Keep It Up Keen Ambience As It Is Should Seined Ancient Period,India,16,2093,FALSE,FALSE,FALSE,TRUE
40,1,1,1,1,1,1,Awesome,India,49,7834,FALSE,FALSE,TRUE,FALSE
41,2,2,2,1,1,2,No,India,30,15503,FALSE,FALSE,FALSE,FALSE
42,1,1,1,1,1,1,Relish Food,India,28,601,FALSE,FALSE,FALSE,FALSE
43,1,1,1,1,1,1,Food Was Really Good Never Have\D This Acharya Flavor Meat Taste Like This Before,India,33,13853,FALSE,FALSE,FALSE,TRUE
44,1,1,1,1,1,1,Add More Variety An Your Menu,India,38,8196,FALSE,FALSE,FALSE,FALSE
